l_ori;l_dest;text_ori;text_dest;error_reason
ES;EN;HOMBRE;"MEN";Translation duplicated
EN;DE;100% Cotton;"100% Baumwolle";Translation duplicated
EN;DE;Machine wash at 30ºC. Do not tumble dry.Do not bleach.Iron at max 110º temperature;"Maschinenwäsche bei 30ºC. Nicht im Trockner trocknen. Nicht bleichen. Bei maximal 110º Temperatur bügeln.";Translation duplicated
EN;DE;ADULT;"ERWACHSENE";Translation duplicated
EN;DE;All-season Basic Article;"Ganzjähriger Grundartikel";Translation duplicated
EN;DE;GRIS / GREY;"GRIS / GRAU";Translation duplicated
EN;DE;Cotton;"Baumwolle";Translation duplicated
EN;DE;Soft Feel;"Angenehmes Gefühl";Translation duplicated
EN;DE;Crew Neck;"Rundhalsausschnitt";Translation duplicated
EN;DE;NEGRO / BLACK;"NEGRO / SCHWARZ";Translation duplicated
EN;DE;ROJO / RED;"ROJO / ROT";Translation duplicated
EN;DE;NAVY;"MARINE";Translation duplicated
EN;DE;KAKI / KHAKI;"KAKI / KHAKI";Translation duplicated
EN;DE;CRUDO / OFF-WHITE;"CRUDO / OFF-WHITE";Translation duplicated
EN;DE;Colour Gradient;"Farbverlauf";Translation duplicated
EN;DE;Striped;"Gestreift";Translation duplicated
ES;EN;TRICOT HOMBRE;"Men's knitwear.";Translation duplicated
ES;EN;Jersey Punto;"Jersey knit.";Translation duplicated
